,remove_corr_n,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
135,100,RobustScaler,LinearSVC,250,10,10,260,0.9986238926186219,0.4040660972295791,0.9999862258953168,0.7634353061405847
136,100,RobustScaler,LinearSVC,250,10,25,275,1.0,0.43832523156237563,1.0,0.7762450013329779
137,100,RobustScaler,LinearSVC,250,20,0,254,1.0,0.42486524382536767,1.0,0.7721923042744159
138,100,RobustScaler,LinearSVC,250,20,10,264,1.0,0.43800573881754,1.0,0.7962623300453211
139,100,RobustScaler,LinearSVC,250,20,25,279,1.0,0.42849698357954713,1.0,0.7759144228205812
140,100,RobustScaler,LinearSVC,250,50,0,265,1.0,0.4407544409445538,1.0,0.7847749489025149
141,100,RobustScaler,LinearSVC,250,50,10,275,1.0,0.44272471005409814,1.0,0.792643295121301
142,100,RobustScaler,LinearSVC,250,50,25,290,1.0,0.4207153653928923,1.0,0.7756251666222341
143,100,RobustScaler,LinearSVC,250,75,0,275,1.0,0.42043141339168216,1.0,0.7681496045498979
144,100,RobustScaler,LinearSVC,250,75,10,285,1.0,0.4105416510068536,1.0,0.7719134897360704
145,100,RobustScaler,LinearSVC,250,75,25,300,1.0,0.43147753004618694,1.0,0.7760383897627299
146,100,RobustScaler,LinearSVC,500,10,0,500,1.0,0.5373537880154806,1.0,0.8145192393139608
147,100,RobustScaler,LinearSVC,500,10,10,510,1.0,0.5194450519613447,1.0,0.8151708433306674
148,100,RobustScaler,LinearSVC,500,10,25,525,1.0,0.5189909693674072,1.0,0.7983797653958944
149,100,RobustScaler,LinearSVC,500,20,0,504,1.0,0.5362386854268291,1.0,0.7948846974140229
150,100,RobustScaler,LinearSVC,500,20,10,514,1.0,0.5097221738197595,1.0,0.7986177019461477
151,100,RobustScaler,LinearSVC,500,20,25,529,1.0,0.5135101826177085,1.0,0.7987003465742468
152,100,RobustScaler,LinearSVC,500,50,0,514,1.0,0.5178226556789262,1.0,0.8068270683373322
153,100,RobustScaler,LinearSVC,500,50,10,524,1.0,0.5294025972791122,1.0,0.8069819159335289
154,100,RobustScaler,LinearSVC,500,50,25,539,1.0,0.5002594922485878,1.0,0.7899742290944636
155,100,RobustScaler,LinearSVC,500,75,0,522,1.0,0.4916765100514955,1.0,0.7743410646049942
156,100,RobustScaler,LinearSVC,500,75,10,532,1.0,0.5302256795453851,1.0,0.8069819159335287
157,100,RobustScaler,LinearSVC,500,75,25,547,1.0,0.505447760738758,1.0,0.7941822180751799
158,100,RobustScaler,LinearSVC,1000,10,0,1000,1.0,0.5031598132519035,1.0,0.7818783879854261
159,100,RobustScaler,LinearSVC,1000,10,10,1010,1.0,0.496593229375357,1.0,0.7820232382475785
160,100,RobustScaler,LinearSVC,1000,10,25,1025,1.0,0.5024396907897597,1.0,0.7862725495423442
161,100,RobustScaler,LinearSVC,1000,20,0,1002,1.0,0.4734422874782518,1.0,0.7654496578690126
162,100,RobustScaler,LinearSVC,1000,20,10,1012,1.0,0.5076564672984332,1.0,0.7864896027725938
163,100,RobustScaler,LinearSVC,1000,20,25,1027,1.0,0.5270121947450626,1.0,0.7907697947214076
164,100,RobustScaler,LinearSVC,1000,50,0,1009,1.0,0.5102370472162767,1.0,0.7824882253621257
165,100,RobustScaler,LinearSVC,1000,50,10,1019,1.0,0.49454611198764487,1.0,0.7819405936194793
166,100,RobustScaler,LinearSVC,1000,50,25,1034,1.0,0.48504527780501105,1.0,0.7699573447080779
167,100,RobustScaler,LinearSVC,1000,75,0,1017,1.0,0.47820550886435365,1.0,0.7813516395627832
168,100,RobustScaler,LinearSVC,1000,75,10,1027,1.0,0.5262085232217469,1.0,0.7909868479516573
169,100,RobustScaler,LinearSVC,1000,75,25,1042,1.0,0.5157189612085538,1.0,0.7904805385230607
170,100,RobustScaler,LinearSVC,4000,10,0,4000,1.0,0.4517448838168237,1.0,0.7609110903758998
171,100,RobustScaler,LinearSVC,4000,10,10,4010,1.0,0.44270424417882615,1.0,0.7368823869190438
172,100,RobustScaler,LinearSVC,4000,10,25,4025,1.0,0.4447707418724232,1.0,0.7374095796676442
173,100,RobustScaler,LinearSVC,4000,20,0,4001,1.0,0.4529605409567647,1.0,0.7607766817737491
174,100,RobustScaler,LinearSVC,4000,20,10,4011,1.0,0.4605781612732496,1.0,0.7372542877454901
175,100,RobustScaler,LinearSVC,4000,20,25,4026,1.0,0.4401599192399694,1.0,0.728890073758109
176,100,RobustScaler,LinearSVC,4000,50,0,4004,1.0,0.43749482865243416,1.0,0.7486281436061495
177,100,RobustScaler,LinearSVC,4000,50,10,4014,1.0,0.4703423502840238,1.0,0.7497647294054919
178,100,RobustScaler,LinearSVC,4000,50,25,4029,1.0,0.437718629166307,1.0,0.7368515062649961
179,100,RobustScaler,LinearSVC,4000,75,0,4008,1.0,0.4211223294577495,1.0,0.7361694659201992
180,100,RobustScaler,LinearSVC,4000,75,10,4018,1.0,0.4213037604469127,1.0,0.7247442904114458
181,100,RobustScaler,LinearSVC,4000,75,25,4033,1.0,0.41807659414103276,1.0,0.7284872922776149
182,100,RobustScaler,na,na,na,0,5308,1.0,0.4497059463336768,1.0,0.7447402914778282
183,250,RobustScaler,LinearSVC,10,10,0,15,0.1731318378907336,0.155436786672852,0.8207658503113048,0.7869014929352173
184,250,RobustScaler,LinearSVC,10,10,10,25,0.23637683855486252,0.21123277135568316,0.8419365230728868,0.8115233715453657
185,250,RobustScaler,LinearSVC,10,10,25,40,0.2894147211486646,0.2579829801339722,0.9133782379236925,0.8688092064338399
186,250,RobustScaler,LinearSVC,10,20,0,20,0.1874755252549702,0.1577875239716408,0.8610875740421196,0.8037505554074469
187,250,RobustScaler,LinearSVC,10,20,10,30,0.2286754082265229,0.2083760635664433,0.8726951079223806,0.8379485470541189
188,250,RobustScaler,LinearSVC,10,20,25,45,0.2959799737345282,0.25977122216250564,0.9207865366956276,0.8692428685683818
189,250,RobustScaler,LinearSVC,10,50,0,35,0.19961302454101962,0.17414429159367092,0.873124779261143,0.8259957344708078
190,250,RobustScaler,LinearSVC,10,50,10,45,0.2555463077013759,0.22297281444659442,0.897059581832309,0.8471460943748333
191,250,RobustScaler,LinearSVC,10,50,25,60,0.30902587833909595,0.26958538774626695,0.9251629178901906,0.8786401404070027
192,250,RobustScaler,LinearSVC,10,75,0,48,0.21882096700375336,0.1959130102816634,0.8816440630076994,0.8426417399804498
193,250,RobustScaler,LinearSVC,10,75,10,58,0.29649013124210666,0.2669020447565091,0.9105544203271475,0.8715469208211144
194,250,RobustScaler,LinearSVC,10,75,25,73,0.3339712425587228,0.28228904685702827,0.9375659441568533,0.8752450457655736
195,250,RobustScaler,LinearSVC,250,10,0,250,1.0,0.4347603359428822,1.0,0.7806082822358482
196,250,RobustScaler,LinearSVC,250,10,10,260,1.0,0.4347694254121224,1.0,0.7845270150182173
197,250,RobustScaler,LinearSVC,250,10,25,275,1.0,0.4367271610146988,1.0,0.7806909268639474
198,250,RobustScaler,LinearSVC,250,20,0,254,1.0,0.4606454900252648,1.0,0.7931287212298942
199,250,RobustScaler,LinearSVC,250,20,10,264,1.0,0.4572506647641468,1.0,0.8007904558784325
200,250,RobustScaler,LinearSVC,250,20,25,279,1.0,0.4701339592322145,1.0,0.8094234870701146
201,250,RobustScaler,LinearSVC,250,50,0,267,1.0,0.4584121354606753,1.0,0.7852190526970586
202,250,RobustScaler,LinearSVC,250,50,10,277,1.0,0.44377242758389157,1.0,0.7847231849284635
203,250,RobustScaler,LinearSVC,250,50,25,292,1.0,0.4758118260392593,1.0,0.8014929352172753
204,250,RobustScaler,LinearSVC,250,75,0,277,1.0,0.4607733447414941,1.0,0.789303074735626
205,250,RobustScaler,LinearSVC,250,75,10,287,1.0,0.4109625754370587,1.0,0.759681862614414
206,250,RobustScaler,LinearSVC,250,75,25,302,1.0,0.47207733835649834,1.0,0.7971092153203589
207,250,RobustScaler,LinearSVC,500,10,0,500,1.0,0.5310684827214707,1.0,0.7990204834266418
208,250,RobustScaler,LinearSVC,500,10,10,510,1.0,0.5099688511093994,1.0,0.7784868479516572
209,250,RobustScaler,LinearSVC,500,10,25,525,1.0,0.546846376242033,1.0,0.7951326312983205
210,250,RobustScaler,LinearSVC,500,20,0,504,1.0,0.5071576600581601,1.0,0.7826226339642761
211,250,RobustScaler,LinearSVC,500,20,10,514,1.0,0.4945778138597495,1.0,0.7862934328623479
212,250,RobustScaler,LinearSVC,500,20,25,529,1.0,0.5071296699818685,1.0,0.7780940638052075
213,250,RobustScaler,LinearSVC,500,50,0,514,1.0,0.5372535195502822,1.0,0.8033628810095086
214,250,RobustScaler,LinearSVC,500,50,10,524,1.0,0.49247662318707924,1.0,0.7741653336887941
215,250,RobustScaler,LinearSVC,500,50,25,539,1.0,0.510261822666302,1.0,0.7866240113747445
216,250,RobustScaler,LinearSVC,500,75,0,522,1.0,0.5181466048573836,1.0,0.786603128054741
217,250,RobustScaler,LinearSVC,500,75,10,532,1.0,0.5235545172367383,1.0,0.7985037323380432
218,250,RobustScaler,LinearSVC,500,75,25,547,1.0,0.5253265706712986,1.0,0.802370701146361
219,250,RobustScaler,LinearSVC,1000,10,0,1000,1.0,0.5090344447397432,1.0,0.7823124944459254
220,250,RobustScaler,LinearSVC,1000,10,10,1010,1.0,0.5110107232411014,1.0,0.7822194081578245
221,250,RobustScaler,LinearSVC,1000,10,25,1025,1.0,0.5648240739528115,1.0,0.8073638140940194
222,250,RobustScaler,LinearSVC,1000,20,0,1002,1.0,0.5147808098909605,1.0,0.7780836221452058
223,250,RobustScaler,LinearSVC,1000,20,10,1012,1.0,0.48031389426933147,1.0,0.7654392162090109
224,250,RobustScaler,LinearSVC,1000,20,25,1027,1.0,0.5226839055710022,1.0,0.802639518350662
225,250,RobustScaler,LinearSVC,1000,50,0,1009,1.0,0.5105820006677927,1.0,0.7820436772416244
226,250,RobustScaler,LinearSVC,1000,50,10,1019,1.0,0.5141337374553496,1.0,0.7822607304718742
227,250,RobustScaler,LinearSVC,1000,50,25,1034,1.0,0.568205242465469,1.0,0.8155836221452057
228,250,RobustScaler,LinearSVC,1000,75,0,1017,1.0,0.47967645962770256,1.0,0.7777430462987648
229,250,RobustScaler,LinearSVC,1000,75,10,1027,1.0,0.5123931228844361,1.0,0.7781767084333067
230,250,RobustScaler,LinearSVC,1000,75,25,1042,1.0,0.547413983075228,1.0,0.799216653336888
231,250,RobustScaler,LinearSVC,4000,10,0,4000,1.0,0.43828626808980303,1.0,0.7402739269528126
232,250,RobustScaler,LinearSVC,4000,10,10,4010,1.0,0.4424816942887261,1.0,0.7412352261619124
233,250,RobustScaler,LinearSVC,4000,10,25,4025,1.0,0.44575475105421425,1.0,0.7288383097840576
234,250,RobustScaler,LinearSVC,4000,20,0,4002,1.0,0.44801271108214225,1.0,0.7449160223940282
235,250,RobustScaler,LinearSVC,4000,20,10,4012,1.0,0.4519816296507412,1.0,0.745308806540478
236,250,RobustScaler,LinearSVC,4000,20,25,4027,1.0,0.47573349386882746,1.0,0.7459804052252732
237,250,RobustScaler,LinearSVC,4000,50,0,4004,1.0,0.4526547722539872,1.0,0.7567857460232827
