,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
196,StandardScaler,ExtraTreesClf_10,2000,72,10,2025,1.0,0.43031467608615953,1.0,0.758047862004379
197,StandardScaler,ExtraTreesClf_10,2000,72,100,2115,1.0,0.43922834145024864,1.0,0.7621322126837594
198,StandardScaler,ExtraTreesClf_10,2000,380,0,2141,1.0,0.40603268880414073,1.0,0.7494718134460946
199,StandardScaler,ExtraTreesClf_10,2000,380,10,2151,1.0,0.44264061167422075,1.0,0.7662997224849096
200,StandardScaler,ExtraTreesClf_10,2000,380,100,2241,1.0,0.405643032064666,1.0,0.7615275080797462
201,StandardScaler,ExtraTreesClf_10,2000,788,0,2390,1.0,0.4472023927236495,1.0,0.7542230022999048
202,StandardScaler,ExtraTreesClf_10,2000,788,10,2400,1.0,0.4244772002555131,1.0,0.7458098848205198
203,StandardScaler,ExtraTreesClf_10,2000,788,100,2490,1.0,0.42803759995028606,1.0,0.7539206634057122
204,StandardScaler,ExtraTreesClf_10,4000,9,0,4000,1.0,0.3739531909406721,1.0,0.7409587684083383
205,StandardScaler,ExtraTreesClf_10,4000,9,10,4010,1.0,0.3894862171838746,1.0,0.7451850587442462
206,StandardScaler,ExtraTreesClf_10,4000,9,100,4100,1.0,0.39768234363046256,1.0,0.7455495653378369
207,StandardScaler,ExtraTreesClf_10,4000,72,0,4004,1.0,0.3368216700426669,1.0,0.7121171158894186
208,StandardScaler,ExtraTreesClf_10,4000,72,10,4014,1.0,0.4187826358176197,1.0,0.7697382142233099
209,StandardScaler,ExtraTreesClf_10,4000,72,100,4104,1.0,0.3788122177019891,1.0,0.7529934789329712
210,StandardScaler,ExtraTreesClf_10,4000,380,0,4049,1.0,0.3912119107770569,1.0,0.7572802214458975
211,StandardScaler,ExtraTreesClf_10,4000,380,10,4059,1.0,0.3834960994297873,1.0,0.7492719388270769
212,StandardScaler,ExtraTreesClf_10,4000,380,100,4149,1.0,0.3728448459476959,1.0,0.7328471515642311
213,StandardScaler,ExtraTreesClf_10,4000,788,0,4203,1.0,0.4101923017392348,1.0,0.7693938973599422
214,StandardScaler,ExtraTreesClf_10,4000,788,10,4213,1.0,0.3681996221346537,1.0,0.7369541945616566
215,StandardScaler,ExtraTreesClf_10,4000,788,100,4303,1.0,0.3660005358733216,1.0,0.7407160556211715
216,StandardScaler,na,na,na,0,5408,1.0,0.36938516846957986,1.0,0.7288425874686869
